id;name;title;description;css;menu_type;jhi_order;active;language;last_modified
1;Territorio Ancona versatile;up Cotton;invoice Investment parsing;Cheese;65581;17934;true;ITALIAN;2022-03-04T11:45:09
2;Savings Analyst;cutting-edge Strada;Senior Central Borders;EXE;47508;27346;false;ENGLISH;2022-03-04T08:16:57
3;Contrada RSS;Incrocio Trento;architetture Implementation Protocollo;Metal ROI;82859;76064;false;ENGLISH;2022-03-04T01:26:59
4;Baby;payment;Industrial evolutive;SAS orchid;46619;32774;true;FRENCH;2022-03-04T02:00:14
5;robusta;Borders;marchi open-source discreta;Migrazione;15546;4746;false;ENGLISH;2022-03-04T11:44:32
6;Planner generate;Tactics Internal;Concrete Piacenza Intelligent;ricontestualizzate;61709;88768;true;ENGLISH;2022-03-04T20:23:29
7;Ouguiya;array copying Borgo;hack Belize;Afghani synthesizing Fantastic;83924;28616;false;ENGLISH;2022-03-04T02:57:02
8;Vietnam Shoes Antillian;Berkshire mission-critical Borders;Pizza;Licensed payment;20900;77664;true;SPANISH;2022-03-04T09:22:52
9;sinergizzate Planner;target;Borders;Investment Personal;50422;9435;true;SPANISH;2022-03-04T03:34:39
10;Account Granite;exploit Small Architettura;Buckinghamshire;webservices;53007;79967;false;ITALIAN;2022-03-03T23:30:15
