id;name;alias;content;created;published;jhi_order;active;language;last_modified
1;Frozen Borders;connecting Berkshire;../fake-data/blob/hipster.txt;2022-03-04T19:56:26;true;31582;true;FRENCH;2022-03-04T11:05:45
2;Awesome optical Berkshire;Shirt Borders Gorgeous;../fake-data/blob/hipster.txt;2022-03-04T13:30:26;true;62964;false;ITALIAN;2022-03-04T01:12:58
3;Product;monitor Technician Rovigo;../fake-data/blob/hipster.txt;2022-03-03T23:14:54;true;27329;true;FRENCH;2022-03-04T09:41:54
4;metriche Borders;Piazza;../fake-data/blob/hipster.txt;2022-03-03T23:19:45;true;41346;true;ITALIAN;2022-03-04T18:20:17
5;multi-byte SCSI Bulgaria;Rubber granulari;../fake-data/blob/hipster.txt;2022-03-04T00:42:18;false;57150;true;FRENCH;2022-03-04T12:47:11
6;Assurance;Macedonia real-time;../fake-data/blob/hipster.txt;2022-03-04T20:42:19;true;42615;false;SPANISH;2022-03-04T13:58:32
7;Books bi-direzionale;Integration Officer;../fake-data/blob/hipster.txt;2022-03-04T10:34:48;true;31405;false;FRENCH;2022-03-04T10:54:29
8;Metal Gorizia;state Incrocio;../fake-data/blob/hipster.txt;2022-03-04T10:35:23;false;42987;false;SPANISH;2022-03-04T11:21:40
9;sexy magenta centralizzata;Benchmark accrescitive;../fake-data/blob/hipster.txt;2022-03-04T18:23:09;false;5696;true;ITALIAN;2022-03-04T12:02:15
10;Computers Carbonia-Iglesias;Steel quantify Berkshire;../fake-data/blob/hipster.txt;2022-03-03T21:23:43;true;71216;true;ENGLISH;2022-03-04T03:03:39
