id;name;description;active
1;Concrete Account Brindisi;program Via;true
2;SMS Granite SSL;Borgo;false
3;Shoes Prato lime;Savings Avon;false
4;SCSI ROI Coordinator;Beauty Rustic Via;true
5;schemi Infrastructure;Fantastic Computers;false
6;Policy abilitate;Assistant Alessandria Ball;true
7;Real Piazza Unbranded;automatizzata Mobility ergonomica;true
8;Concrete Matrice Bedfordshire;Accounts;true
9;Director Regional tan;generating parsing Buckinghamshire;false
10;Cambridgeshire Lodi Fantastic;sud Granite Protocollo;true
